desc,id,name,other.comment,other.created_by,other.creation_date,other.deprecated,other.disjointWith,other.hasAlternativeId,other.namespace,other.onProperty,other.someValuesFrom,other.subset,other.xref,relations.can_be,relations.is_a,id_type,id_number
,DOID:2834,acquired polycythemia,,,,,,,[disease_ontology],,,,"[ICD10CM:D75.1, ICD9CM:289.0, NCI:C27178, SNOMEDCT_US_2016_03_01:154835002, SNOMEDCT_US_2016_03_01:191374009, SNOMEDCT_US_2016_03_01:44865000, UMLS_CUI:C1318533]","[DOID:2833, DOID:2835, DOID:2838, DOID:2839]",[DOID:8432],DOID,2834
,DOID:2835,polycythemia due to hypoxia,,,,,,,[disease_ontology],,,,"[NCI:C27312, UMLS_CUI:C0856818]",,[DOID:2834],DOID,2835
,DOID:12879,Pars plana exudative cyst,,,,[true],,,[disease_ontology],,,,,,,DOID,12879
,DOID:9913,axillary metastasis,,,,[true],,,[disease_ontology],,,,,,,DOID,9913
"A parasitic helminthiasis infectious disease that involves parasitic infection due to migrating immature worms of Gnathostoma spinigerum or Gnathostoma hispidum, which occurs by eating undercooked fish or poultry containing third-stage larvae, or by drinking water containing infective second-stage larvae in Cyclops. Migration in the subcutaneous tissues causes intermittent, migratory, painful, pruritic swellings (cutaneous larva migrans). Migration to other tissues (visceral larva migrans), result in cough, hematuria, and ocular involvement, with the most serious manifestations eosinophilic meningitis with myeloencephalitis.",DOID:11379,gnathomiasis,,,,,,,[disease_ontology],,,,"[ICD10CM:B83.1, ICD9CM:128.1, MESH:D058429, SNOMEDCT_US_2016_03_01:44086001, UMLS_CUI:C0018013]",,[DOID:883],DOID,11379
,DOID:11371,functional diarrhea,,,,,,,[disease_ontology],,,,"[ICD10CM:K59.1, ICD9CM:564.5, SNOMEDCT_US_2016_03_01:47812002, UMLS_CUI:C0156173]",,[DOID:5353],DOID,11371
A colonic disease that is characterized by an abnormal dilation of the colon.,DOID:11372,megacolon,,,,,,[DOID:1771],[disease_ontology],,,,"[ICD10CM:K59.3, MESH:D008531, NCI:C34810, SNOMEDCT_US_2016_03_01:197138002, SNOMEDCT_US_2016_03_01:197144003, SNOMEDCT_US_2016_03_01:33995003, UMLS_CUI:C0025160]","[DOID:10487, DOID:1770]",[DOID:5353],DOID,11372
,DOID:11374,anal spasm,,,,,,,[disease_ontology],,,,"[ICD10CM:K59.4, ICD9CM:564.6, SNOMEDCT_US_2016_03_01:17440005, SNOMEDCT_US_2016_03_01:197136003, SNOMEDCT_US_2016_03_01:197137007, UMLS_CUI:C0152167]",,[DOID:3128],DOID,11374
,DOID:11377,calculus of gallbladder and bile duct with acute cholecystitis,,,,[true],,[DOID:11376],[disease_ontology],,,,,,,DOID,11377
,DOID:9910,central corneal ulcer,,,,,,,[disease_ontology],,,,"[ICD10CM:H16.01, ICD9CM:370.03, SNOMEDCT_US_2016_03_01:193761009, SNOMEDCT_US_2016_03_01:7426009, UMLS_CUI:C0155069]",,[DOID:8463],DOID,9910
"A neuronal ceroid lipofuscinosis that is characterized by autosomal recessive inheritance with rapidly progressive visual loss due to retinal dystrophy, seizures, cerebellar ataxia, and cerebellar atrophy and has_material_basis_in homozygous mutation in the GRN gene on chromosome 17q.",DOID:0110732,neuronal ceroid lipofuscinosis 11,,,,,,,,,,,"[ICD10CM:E75.4, OMIM:614706, ORDO:314629]",,[DOID:14503],DOID,110732
"A neuronal ceroid lipofuscinosis that is characterized by juvenile-onset of progressive vision loss, progressive ataxia and seziures.",DOID:0110733,neuronal ceroid lipofuscinosis 9,,,,,,,,,,,"[ICD10CM:E75.4, OMIM:609055, ORDO:228357]",,[DOID:14503],DOID,110733
"A neuronal ceroid lipofuscinosis that is characterized by adult-onset of progressive dementia, seizures, and progressive visual failure and lipopigment patterns with mixed combinations of 'granular,' 'curvilinear,' and 'fingerprint' profiles and has_material_basis_in homozygous or compound heterozygous mutation in the CLN6 gene on chromosome 15q23.",DOID:0110730,neuronal ceroid lipofuscinosis 4A,,,,,,,,,,,"[ICD10CM:E75.4, OMIM:204300, ORDO:228340]",,[DOID:14503],DOID,110730
"A neuronal ceroid lipofuscinosis that is characterized by juvenile-onset of progressive dementia, seizures, and progressive visual failure and an ultrastructural pattern of lipopigment with a 'fingerprint' profile and has_material_basis_in homozygous or compound heterozygous mutation in the CLN3 gene on chromosome 16p11.",DOID:0110731,neuronal ceroid lipofuscinosis 3,,,,,,,,,,,"[ICD10CM:E75.4, OMIM:204200, ORDO:228346]",,[DOID:14503],DOID,110731
A neurodegeneration with brain iron accumulation that has_material_basis_in autosomal recessive inheritance of mutation in the PLA2G6 gene on chromosome 22q13.1.,DOID:0110736,neurodegeneration with brain iron accumulation 2b,,,,,,,,,,,"[ICD10CM:G23.0, OMIM:610217]",,[DOID:0110734],DOID,110736
A neurodegeneration with brain iron accumulation that has_material_basis_in autosomal dominant inheritance of mutation in the FTL gene on chromosome 19q13.33.,DOID:0110737,neurodegeneration with brain iron accumulation 3,,,,,,,,,,,"[ICD10CM:G23.0, MESH:C548080, OMIM:606159, ORDO:157846, UMLS_CUI:C1853578]",,[DOID:0110734],DOID,110737
"A neurodegenerative disease characterized by progressive iron accumulation in the basal ganglia and other regions of the brain, resulting in extrapyramidal movements, such as parkinsonism and dystonia.",DOID:0110734,neurodegeneration with brain iron accumulation,,,,,,,,,,,"[ICD10CM:G23.0, MESH:C538421, OMIM:PS234200, ORDO:385, UMLS_CUI:C2931845]","[DOID:0110735, DOID:0110736, DOID:0110737, DOID:0110738, DOID:0110739, DOID:0110740, DOID:3981]",[DOID:1289],DOID,110734
A neurodegeneration with brain iron accumulation that has_material_basis_in autosomal recessive inheritance of mutation in the PLA2G6 gene on chromosome 22q13.1.,DOID:0110735,neurodegeneration with brain iron accumulation 2a,,,,,,,,,,,"[ICD10CM:G23.0, OMIM:256600]",,[DOID:0110734],DOID,110735
A neurodegeneration with brain iron accumulation that has_material_basis_in autosomal recessive inheritance of mutation in the C19orf12 gene on chromosome 19q12.,DOID:0110738,neurodegeneration with brain iron accumulation 4,,,,,,,,,,,"[ICD10CM:G23.0, OMIM:614298, ORDO:289560]",,[DOID:0110734],DOID,110738
A neurodegeneration with brain iron accumulation that has_material_basis_in X-linked dominant inheritance of mutation in the WDR45 gene on chromosome Xp11.23.,DOID:0110739,neurodegeneration with brain iron accumulation 5,,,,,,,,,,,"[ICD10CM:G23.0, OMIM:300894, ORDO:329284]",,[DOID:0110734],DOID,110739
An adult sarcoma of soft tissue that derives_form the soft tissues of the body.,DOID:7712,recurrent adult soft tissue sarcoma,,,,[true],,,[disease_ontology],,,,,,,DOID,7712
,DOID:7241,uterine corpus apoplectic leiomyoma,,,,,,,[disease_ontology],,,,"[NCI:C40165, UMLS_CUI:C1519852]",,[DOID:7242],DOID,7241
,DOID:7242,uterine corpus cellular leiomyoma,,,,,,,[disease_ontology],,,,"[NCI:C40163, UMLS_CUI:C1519845]",[DOID:7241],"[DOID:0060095, DOID:5139]",DOID,7242
,DOID:7244,bladder urachal urothelial carcinoma,,,,,,,[disease_ontology],,,,"[NCI:C39844, UMLS_CUI:C1511207]",,[DOID:5958],DOID,7244
,DOID:7245,metastatic endometrial adenocarcinoma,,,,[true],,,[disease_ontology],,,,,,,DOID,7245
,DOID:7246,lymphoepithelioma-like acinar prostate adenocarcinoma,,,,,,,[disease_ontology],,,,"[NCI:C39885, UMLS_CUI:C1515864]",,[DOID:2526],DOID,7246
,DOID:9911,infected hydrocele,,,,,,,[disease_ontology],,,,"[ICD10CM:N43.1, ICD9CM:603.1, SNOMEDCT_US_2016_03_01:11666007, UMLS_CUI:C0156300]",,[DOID:9912],DOID,9911
,DOID:7718,osteoclast-like giant cell neoplasm of the pancreas,,,,,,,[disease_ontology],,,,,,[DOID:3498],DOID,7718
,DOID:11217,chronic tympanitis,,,,,,,[disease_ontology],,,,"[ICD10CM:H73.1, ICD10CM:H73.10, ICD9CM:384.1, SNOMEDCT_US_2016_03_01:89723004, UMLS_CUI:C0395849]",,[DOID:5782],DOID,11217
,DOID:14336,estrogen excess,,,,,,,[disease_ontology],,,,"[ICD10CM:E28.0, ICD9CM:256.0, NCI:C113344, SNOMEDCT_US_2016_03_01:190533004, SNOMEDCT_US_2016_03_01:37295009, UMLS_CUI:C0154209]",,[DOID:1414],DOID,14336
,DOID:11215,premature rupture of the fetal membranes,,,,[true],,"[DOID:12565, DOID:14540]",[disease_ontology],,,,,,,DOID,11215
,DOID:11213,acute contagious conjunctivitis,,,,,,,[disease_ontology],,,,"[NCI:C35704, SNOMEDCT_US_2016_03_01:155162002, SNOMEDCT_US_2016_03_01:17482009, SNOMEDCT_US_2016_03_01:240066005, SNOMEDCT_US_2016_03_01:267734002, SNOMEDCT_US_2016_03_01:399047004, SNOMEDCT_US_2016_03_01:399219006, UMLS_CUI:C1313983]",,[DOID:11184],DOID,11213
,DOID:14332,postencephalitic Parkinson disease,,,,,,,[disease_ontology],,,,"[ICD10CM:G21.3, MESH:D010301, NCI:C34898, SNOMEDCT_US_2016_03_01:192828004, SNOMEDCT_US_2016_03_01:19972008, UMLS_CUI:C0030568]",,[DOID:13548],DOID,14332
,DOID:11211,buphthalmos,[OMIM mapping confirmed by DO. [LS].],,,,,,[disease_ontology],,,,"[ICD9CM:743.21, OMIM:231300, SNOMEDCT_US_2016_03_01:13832009, SNOMEDCT_US_2016_03_01:204116009, SNOMEDCT_US_2016_03_01:268157004, UMLS_CUI:C0311251]",,[DOID:11212],DOID,11211
"A synucleinopathy that has_material_basis_in degeneration of the central nervous system that often impairs motor skills, speech, and other functions.",DOID:14330,Parkinson's disease,"[Xref MGI.
OMIM mapping confirmed by DO. [SN].]",,,,,,[disease_ontology],,,"[http://purl.obolibrary.org/obo/doid#DO_FlyBase_slim, http://purl.obolibrary.org/obo/doid#DO_rare_slim]","[EFO:0002508, ICD10CM:G20, ICD9CM:332, ICD9CM:332.0, KEGG:05012, MESH:D010300, NCI:C26845, OMIM:168600, OMIM:300557, OMIM:556500, OMIM:602404, OMIM:606852, OMIM:613164, ORDO:2828, SNOMEDCT_US_2016_03_01:154999006, SNOMEDCT_US_2016_03_01:155000006, SNOMEDCT_US_2016_03_01:155002003, SNOMEDCT_US_2016_03_01:192825001, SNOMEDCT_US_2016_03_01:192831003, SNOMEDCT_US_2016_03_01:49049000, UMLS_CUI:C0030567]","[DOID:0060892, DOID:0060893, DOID:0060894]",[DOID:0050890],DOID,14330
,DOID:14339,paraphrenia,,,,[true],,,[disease_ontology],,,,,,,DOID,14339
A Pseudomonas infectious disease that is caused by a Gram-negative bacterium Pseudomonas aeruginosa resulting in pulmonary edema. This bacterium releases immunogenic bacterial components that can gain access to airway epithelium and immune cells in the lung thus causing airway inflammation. P. aeruginosa is the common cause of hospital acquired and ventilator-associated pneumonias.,DOID:14338,Pseudomonal pneumonia,,,,[true],,,[disease_ontology],,,[http://purl.obolibrary.org/obo/doid#gram-negative_bacterial_infectious_disease],,,,DOID,14338
A nervous system cancer that is located_in the sensory system.,DOID:0060116,sensory system cancer,,[lschriml],[2011-07-25T01:51:56Z],,,,[disease_ontology],,,,,"[DOID:2174, DOID:6425, DOID:833]","[DOID:0050155, DOID:3093]",DOID,60116
An organ system benign neoplasm that is located_in the serous membrane lining the abdominal cavity or coelom.,DOID:0060117,peritoneal benign neoplasm,,[lschriml],[2011-07-25T02:20:33Z],,,,[disease_ontology],,,,,[DOID:1789],[DOID:0060085],DOID,60117
,DOID:0060114,vaginal benign neoplasm,,[lschriml],[2011-07-25T11:50:50Z],,,,[disease_ontology],,,,,"[DOID:125, DOID:135, DOID:137, DOID:5402]",[DOID:0060086],DOID,60114
An organ system benign neoplasm that is located_in the central nervous system or located_in the peripheral nervous system.,DOID:0060115,nervous system benign neoplasm,,[lschriml],[2011-07-25T12:47:43Z],,,,[disease_ontology],,,,,"[DOID:0060090, DOID:0060096, DOID:2001, DOID:3813, DOID:501, DOID:5078, DOID:8006]",[DOID:0060085],DOID,60115
,DOID:0060112,ovarian benign neoplasm,,[lschriml],[2011-07-25T11:50:50Z],,,,[disease_ontology],,,,,"[DOID:2636, DOID:3269, DOID:3578, DOID:5474, DOID:5480, DOID:5897, DOID:6211, DOID:6469]",[DOID:0060086],DOID,60112
,DOID:0060110,cervical benign neoplasm,,[lschriml],[2011-07-25T11:50:50Z],,,,[disease_ontology],,,,,"[DOID:5476, DOID:9442, DOID:9445]",[DOID:0060086],DOID,60110
,DOID:0060111,fallopian tube benign neoplasm,,[lschriml],[2011-07-25T11:50:50Z],,,,[disease_ontology],,,,,"[DOID:3173, DOID:3705, DOID:5124, DOID:5196, DOID:5478]","[DOID:0060086, DOID:1962]",DOID,60111
,DOID:8892,pityriasis rosea,,,,,,,[disease_ontology],,,,"[ICD10CM:L42, ICD9CM:696.3, MESH:D017515, NCI:C26855, SNOMEDCT_US_2016_03_01:156373006, SNOMEDCT_US_2016_03_01:77252004, UMLS_CUI:C0032026]",,[DOID:8893],DOID,8892
,DOID:8893,psoriasis,"[Xref MGI.
Update outdated UMLS CUI from C00295134 to C0033860.]",,,,,,[disease_ontology],,,,"[EFO:0000676, ICD10CM:L40, ICD10CM:L40.9, MESH:D011565, NCI:C3346, OMIM:177900, OMIM:601454, OMIM:602723, OMIM:603935, OMIM:604316, OMIM:605364, OMIM:605606, OMIM:607857, OMIM:610707, OMIM:612410, OMIM:612599, OMIM:612950, OMIM:614070, SNOMEDCT_US_2016_03_01:156369008, SNOMEDCT_US_2016_03_01:156371008, SNOMEDCT_US_2016_03_01:200961000, SNOMEDCT_US_2016_03_01:200978009, SNOMEDCT_US_2016_03_01:267851002, SNOMEDCT_US_2016_03_01:9014002, UMLS_CUI:C0033860]","[DOID:8892, DOID:9088, DOID:9212]",[DOID:37],DOID,8893
A disease of anatomical entity that is located_in the thoracic cavity.,DOID:0060118,thoracic disease,,[lschriml],[2011-07-25T02:23:47Z],,,,[disease_ontology],[http://purl.obolibrary.org/obo/RO_0001025],[http://purl.obolibrary.org/obo/UBERON_0000915],[http://purl.obolibrary.org/obo/doid#DO_MGI_slim],,[DOID:3463],[DOID:7],DOID,60118
A gastrointestinal system cancer that is located_in the pharynx.,DOID:0060119,pharynx cancer,,[lschriml],[2011-07-27T01:26:34Z],,,,[disease_ontology],,,[http://purl.obolibrary.org/obo/doid#TopNodes_DOcancerslim],"[MESH:D010610, NCI:C3325, SNOMEDCT_US_2016_03_01:126685009, SNOMEDCT_US_2016_03_01:95001001, UMLS_CUI:C0031347]","[DOID:0050921, DOID:8533, DOID:8557, DOID:9261]",[DOID:3119],DOID,60119
,DOID:47,prostate disease,,,,,,,[disease_ontology],,,,"[ICD10CM:N42.9, ICD9CM:602.9, MESH:D011469, NCI:C26865, SNOMEDCT_US_2016_03_01:197979000, SNOMEDCT_US_2016_03_01:30281009, UMLS_CUI:C0033575]","[DOID:10283, DOID:11132, DOID:14654, DOID:2301, DOID:2883, DOID:2887, DOID:8634]",[DOID:48],DOID,47
"A genetic disease that is characterized by a drastic and uncontrolled increase in skeletal muscle oxidative metabolism, which overwhelms the body's capacity to supply oxygen, remove carbon dioxide, and regulate body temperature.",DOID:8545,malignant hyperthermia,"[Xref MGI.
OMIM mapping confirmed by DO. [SN].]",,,,,,[disease_ontology],,,"[http://purl.obolibrary.org/obo/doid#DO_MGI_slim, http://purl.obolibrary.org/obo/doid#DO_rare_slim]","[ICD10CM:T88.3, ICD9CM:995.86, MESH:D008305, NCI:C84869, OMIM:145600, OMIM:154275, OMIM:154276, OMIM:600467, OMIM:601887, OMIM:601888, ORDO:423, SNOMEDCT_US_2016_03_01:111738008, SNOMEDCT_US_2016_03_01:157762007, SNOMEDCT_US_2016_03_01:213026003, SNOMEDCT_US_2016_03_01:248453001, SNOMEDCT_US_2016_03_01:269435009, SNOMEDCT_US_2016_03_01:405500008, SNOMEDCT_US_2016_03_01:405501007, UMLS_CUI:C0024591]",,[DOID:630],DOID,8545
,DOID:8542,"Hodgkin's lymphoma, lymphocytic-histiocytic predominance involving lymph nodes of axilla and upper limb",,,,[true],,,[disease_ontology],,,,,,,DOID,8542
,DOID:8543,"Hodgkin's lymphoma, lymphocytic-histiocytic predominance",,,,,,,[disease_ontology],,,,"[ICD10CM:C81.4, ICD9CM:201.4, MESH:D006689, NCI:C6913, SNOMEDCT_US_2016_03_01:118607005, SNOMEDCT_US_2016_03_01:128799007, SNOMEDCT_US_2016_03_01:188553001, SNOMEDCT_US_2016_03_01:188563009, SNOMEDCT_US_2016_03_01:189988001, SNOMEDCT_US_2016_03_01:59668005, UMLS_CUI:C1266194]",,[DOID:8567],DOID,8543
,DOID:8540,"Sezary's disease involving lymph nodes of head, face, and neck",,,,[true],,,[disease_ontology],,,,,,,DOID,8540
,DOID:8541,Sezary's disease,,,,,,[DOID:8790],[disease_ontology],,,,"[ICD10CM:C84.1, ICD10CM:C84.10, ICD9CM:202.2, MESH:D012751, NCI:C3366, SNOMEDCT_US_2016_03_01:118611004, SNOMEDCT_US_2016_03_01:188629004, SNOMEDCT_US_2016_03_01:188638002, SNOMEDCT_US_2016_03_01:4950009, UMLS_CUI:C0036920]",,[DOID:0060061],DOID,8541
,DOID:3419,optic nerve neoplasm,,,,,,,[disease_ontology],,,,"[MESH:D019574, NCI:C4801, SNOMEDCT_US_2016_03_01:126968005, SNOMEDCT_US_2016_03_01:254971001, SNOMEDCT_US_2016_03_01:395505000, UMLS_CUI:C0524802]","[DOID:4992, DOID:5632, DOID:6334, DOID:6335]",[DOID:338],DOID,3419
A reproductive system disease that affects male reproductive organs.,DOID:48,male reproductive system disease,,,,,,,[disease_ontology],,,,"[ICD10CM:N50.9, ICD9CM:600-608.99, ICD9CM:608.9, MESH:D005832, SNOMEDCT_US_2016_03_01:155905004, SNOMEDCT_US_2016_03_01:155933004, SNOMEDCT_US_2016_03_01:155945008, SNOMEDCT_US_2016_03_01:198089001, SNOMEDCT_US_2016_03_01:198553004, SNOMEDCT_US_2016_03_01:64557000, UMLS_CUI:C0017412]","[DOID:10835, DOID:11997, DOID:12332, DOID:12333, DOID:12335, DOID:12336, DOID:1529, DOID:2519, DOID:47, DOID:5576, DOID:9365, DOID:9402, DOID:9912]",[DOID:15],DOID,48
,DOID:8549,chronic ulcer of skin,,,,,,"[DOID:8548, DOID:8733]",[disease_ontology],,,,"[ICD10CM:L98.4, ICD9CM:707, SNOMEDCT_US_2016_03_01:156423009, SNOMEDCT_US_2016_03_01:156426001, SNOMEDCT_US_2016_03_01:19429009, SNOMEDCT_US_2016_03_01:201259007, UMLS_CUI:C0157738]","[DOID:8529, DOID:8717]",[DOID:37],DOID,8549
,DOID:8620,reticulosarcoma involving intrapelvic lymph nodes,,,,[true],,,[disease_ontology],,,,,,,DOID,8620
A small intestine sarcoma that affects the involuntary smooth muscles of the small intestines.,DOID:5271,small intestine leiomyosarcoma,,,,,,,[disease_ontology],,,,"[NCI:C7085, UMLS_CUI:C0920305]",,"[DOID:1967, DOID:5272]",DOID,5271
,DOID:10294,intermittent monocular esotropia,,,,[true],,,[disease_ontology],,,,,,,DOID,10294
,DOID:10295,monocular esotropia with A pattern,,,,[true],,,[disease_ontology],,,,,,,DOID,10295
,DOID:10296,monocular esotropia with V pattern,,,,[true],,,[disease_ontology],,,,,,,DOID,10296
,DOID:10290,prostate lymphoma,,,,,,,[disease_ontology],,,,"[NCI:C5533, UMLS_CUI:C1335512]",,"[DOID:0060058, DOID:10283]",DOID,10290
,DOID:10293,monocular esotropia,,,,,,,[disease_ontology],,,,"[ICD10CM:H50.01, ICD9CM:378.01, MESH:D004948, SNOMEDCT_US_2016_03_01:194075001, SNOMEDCT_US_2016_03_01:5455000, UMLS_CUI:C0152204]",,[DOID:9840],DOID,10293
"A leukocyte disease characterized by autosomal dominant inheritance of lifelong, persistent elevated neutrophil counts primarily consisting of segmented neutrophils that has_material_basis_in heterozygous mutation in the CSF3R gene on chromosome 1p34.",DOID:0090120,hereditary neutrophilia,,,,,,,[disease_ontology],,,,"[ICD10CM:D72.8, OMIM:162830, ORDO:279943, UMLS_CUI:C0543669]",,[DOID:9500],DOID,90120
"An adrenal gland hyperfunction characterized by decreased conversion of biologically active cortisol to inactive cortisone resulting in low aldosterone levels, metabolic alkalosis, hypernatremia, hypokalemia and early-onset severe hypertension that has_material_basis_in homozygous or compound heterozygous mutation in the HSD11B2 gene on chromosome 16.",DOID:0090121,apparent mineralocorticoid excess,,,,,,,[disease_ontology],,,,"[ICD10CM:E26.1, MESH:C537422, MESH:D043204, OMIM:218030, ORDO:320, UMLS_CUI:C0342488, UMLS_CUI:C2936861]",,[DOID:3947],DOID,90121
"A reproductive system disease characterized by autosomal dominant inheritance of  increased extraglandular aromatization of steroids resulting in heterosexual precocity in males and isosexual precocity in females that has_material_basis_in fusion of the CYP19A1 gene with various partners, brought about by translocations and resulting in gain of function of the CYP19A1 gene.",DOID:0090122,aromatase excess syndrome,,,,,,,[disease_ontology],,,,"[GARD:12949, ICD10CM:E30.1, OMIM:139300, ORDO:178345]",,[DOID:15],DOID,90122
"An inherited metabolic disorder characterized by reduced production of serotonin and dopamine resulting in hypotonia, hypokinesia, ptosis oculogyric crises, and signs of autonomic dysfunction with onset in infancy or childhood that has_material_basis_in homozygous or compound heterozygous mutation in the DDC gene on chromosome 7p12.",DOID:0090123,aromatic L-amino acid decarboxylase deficiency,,,,,,,[disease_ontology],,,,"[GARD:770, ICD10CM:G24.8, OMIM:608643, ORDO:35708, UMLS_CUI:C1291564]",,[DOID:655],DOID,90123
"A nervous system disease characterized by congenital contractures at the elbows and knees, myopathy, absence of muscle spindles, congenital heart disease and spinal motor nueron depletion that has_material_basis_in variation in the chromosome region 5q35.",DOID:0090124,neurogenic arthrogryposis multiplex congenita,,,,,,,[disease_ontology],,,,"[ICD10CM:Q74.3, MESH:C536614, OMIM:208100, ORDO:1143, UMLS_CUI:C1859721]",,[DOID:863],DOID,90124
"A brain disease characterized by autosomal dominant inheritance of fragile small blood vessels in the brain, leukoencephalopathy, increased risk of stroke, seizure and migraine and in some cases Axenfeld-Riegar anomaly that has_material_basis_in heterozygous mutation in the COL4A1 gene on chromosome 13q34.",DOID:0090125,COL4A1-related familial vascular leukoencephalopathy,,,,,,,[disease_ontology],,,,"[OMIM:607595, ORDO:36383]",,[DOID:936],DOID,90125
"An autosomal recessive disease characterized by autism, epilepsy, intellectual disability, and reduced levels of branched-chain amino acids that has_material_basis_in homozygous mutation in the BCKDK gene on chromosome 16p11.",DOID:0090126,branched-chain keto acid dehydrogenase kinase deficiency,,,,,,,[disease_ontology],,,,"[ICD10CM:E71.1, OMIM:614923, ORDO:308410]",,[DOID:0050737],DOID,90126
"An autosomal recessive disease characterized by congenital or early-onset camptodactyly, noninflammatory arthropathy with synovial hyperplasia and in some patients progressive coxa vara deformity, and/or noninflammatory pericardial or pleural effusion that has_material_basis_in homozygous mutation in the PRG4 gene on chromosome 1q31.",DOID:0090127,camptodactyly-arthropathy-coxa vara-pericarditis syndrome,,,,,,,[disease_ontology],,,,"[OMIM:208250, ORDO:2848, UMLS_CUI:C1859690]",,[DOID:0050737],DOID,90127
"An autosomal recessive disease characterized by autosomal recessive inheritance of dilated cardiomyopathy, woolly hair, and keratoderma that has_material_basis_in  homozygous mutation in the DSP gene on chromosome 6p24.",DOID:0090128,dilated cardiomyopathy with woolly hair and keratoderma,,,,,,,[disease_ontology],,,,[OMIM:605676],,[DOID:0050737],DOID,90128
A lipid metabolism disorder characterized by autosomal recessive inheritance of impaired mitochondrial oxidation of long chain fatty acids in the liver and kidneys resulting in episodes of illness- or fasting-induced hypoketotic hypoglycemia that has_material_basis_in homozygous or compound heterozygous mutation in the CPT1A gene on chromosome 11q13.,DOID:0090129,carnitine palmitoyltransferase I deficiency,,,,,,,[disease_ontology],,,,"[ICD10CM:E71.3, OMIM:255120, ORDO:156]",,[DOID:3146],DOID,90129
